identifier,date_,open_,close_,MA_5,MA_20
1256,2020-10-12,281.5,278.0,281.9,264.85
1301,2020-10-12,81.2,81.2,80.66,80.02000000000001
1307,2020-10-12,21.05,20.9,20.840000000000003,21.12
1303,2020-10-12,61.0,61.2,60.65999999999999,60.46
1304,2020-10-12,16.4,16.2,16.270000000000003,16.5025
1308,2020-10-12,18.1,17.8,18.03,18.7925
1309,2020-10-12,27.35,27.8,27.45,28.872499999999995
1310,2020-10-12,16.4,16.15,16.38,16.384999999999998
1312,2020-10-12,19.2,18.5,19.080000000000005,19.2925
1312A,2020-10-12,30.15,30.65,30.430000000000007,30.632500000000004
1313,2020-10-12,12.9,12.95,12.830000000000002,13.132500000000002
1314,2020-10-12,8.47,8.34,8.452000000000002,8.677
1449,2020-10-12,16.4,16.0,16.490000000000002,16.985
1315,2020-10-12,53.5,52.8,53.660000000000004,52.89
1316,2020-10-12,12.0,11.65,11.779999999999998,11.61
1319,2020-10-12,37.4,37.15,36.9,37.07
1321,2020-10-12,35.8,35.15,34.910000000000004,35.292500000000004
1323,2020-10-12,32.9,32.85,33.089999999999996,33.36
1324,2020-10-12,9.9,9.81,9.862000000000004,9.8625
1325,2020-10-12,134.0,123.0,135.5,135.7
1326,2020-10-12,69.9,70.0,69.14000000000001,68.61
1337,2020-10-12,8.05,7.6,8.128,7.720000000000001
1338,2020-10-12,55.0,53.1,55.2,55.975
1339,2020-10-12,43.3,42.7,42.92999999999999,43.7275
1340,2020-10-12,11.7,11.95,11.9,12.1175
1402,2020-10-12,26.15,25.9,25.95,25.9
1409,2020-10-12,11.2,11.05,11.169999999999998,11.322500000000002
1451,2020-10-12,16.7,16.55,16.440000000000005,16.5575
1410,2020-10-12,32.7,32.7,32.75000000000001,33.5575
1413,2020-10-12,9.1,9.02,9.022,8.9205
1414,2020-10-12,8.57,8.96,8.474000000000002,8.6045
1416,2020-10-12,13.7,13.75,13.61,13.865
1417,2020-10-12,11.1,11.0,11.100000000000003,11.6125
1419,2020-10-12,42.9,42.7,42.74999999999999,43.7175
1423,2020-10-12,14.5,14.6,14.63,14.4525
1432,2020-10-12,19.2,18.65,18.990000000000002,15.388
1434,2020-10-12,31.9,31.35,31.619999999999997,31.9125
1435,2020-10-12,15.8,17.25,16.05,13.09
1436,2020-10-12,38.2,38.2,38.05,37.625
1437,2020-10-12,24.1,23.85,23.340000000000003,23.082500000000003
1438,2020-10-12,13.6,13.4,13.63,14.080000000000002
1439,2020-10-12,28.2,27.85,28.29,28.735000000000003
1440,2020-10-12,11.8,11.9,11.68,12.08
